Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,4400.0,4400.0,4400.0,4400.0,3718.353759765625,0
2019-01-02,4400.0,4400.0,4337.5,4362.5,3686.66357421875,15681200
2019-01-03,4337.5,4387.5,4325.0,4362.5,3686.66357421875,21416600
2019-01-04,4362.5,4400.0,4337.5,4362.5,3686.66357421875,41078600
2019-01-07,4412.5,4462.5,4412.5,4437.5,3750.04443359375,48108200
2019-01-08,4437.5,4475.0,4400.0,4450.0,3760.60791015625,45945800
2019-01-09,4475.0,4475.0,4412.5,4425.0,3739.4814453125,50484000
2019-01-10,4462.5,4462.5,4400.0,4425.0,3739.4814453125,44421400
2019-01-11,4475.0,4487.5,4450.0,4462.5,3771.17138671875,47217000
2019-01-14,4487.5,4487.5,4425.0,4437.5,3750.04443359375,26702800
2019-01-15,4437.5,4550.0,4425.0,4500.0,3802.86181640625,49947400
2019-01-16,4525.0,4625.0,4500.0,4625.0,3908.497314453125,58089800
2019-01-17,4612.5,4662.5,4575.0,4625.0,3908.497314453125,47773600
2019-01-18,4650.0,4700.0,4600.0,4700.0,3971.878173828125,39366000
2019-01-21,4600.0,4687.5,4600.0,4612.5,3897.93359375,33397400
2019-01-22,4612.5,4625.0,4587.5,4625.0,3908.497314453125,42127800
2019-01-23,4587.5,4612.5,4512.5,4525.0,3823.98876953125,51746000
2019-01-24,4525.0,4537.5,4487.5,4500.0,3802.86181640625,88315800
2019-01-25,4512.5,4562.5,4500.0,4550.0,3845.115478515625,51100800
2019-01-28,4550.0,4562.5,4525.0,4550.0,3845.115478515625,42198000
2019-01-29,4525.0,4550.0,4462.5,4512.5,3813.42529296875,38083600
2019-01-30,4450.0,4500.0,4450.0,4500.0,3802.86181640625,40402400
2019-01-31,4500.0,4587.5,4500.0,4537.5,3834.552490234375,72412200
2019-02-01,4550.0,4662.5,4537.5,4625.0,3908.497314453125,83559800
2019-02-04,4625.0,4637.5,4550.0,4562.5,3855.67919921875,45077600
2019-02-05,4562.5,4562.5,4562.5,4562.5,3855.67919921875,0
2019-02-06,4562.5,4612.5,4550.0,4550.0,3845.115478515625,39366200
2019-02-07,4550.0,4550.0,4512.5,4537.5,3834.552490234375,11857200
2019-02-08,4475.0,4525.0,4462.5,4487.5,3792.29833984375,25850600
2019-02-11,4475.0,4525.0,4450.0,4525.0,3823.98876953125,29542600
2019-02-12,4525.0,4537.5,4450.0,4450.0,3760.60791015625,25694400
2019-02-13,4425.0,4450.0,4325.0,4325.0,3654.97265625,57993000
2019-02-14,4325.0,4437.5,4325.0,4387.5,3707.790283203125,34647200
2019-02-15,4387.5,4387.5,4350.0,4387.5,3707.790283203125,25669400
2019-02-18,4400.0,4525.0,4400.0,4487.5,3792.29833984375,32794600
2019-02-19,4487.5,4512.5,4412.5,4437.5,3750.04443359375,17644000
2019-02-20,4450.0,4450.0,4350.0,4412.5,3728.917236328125,30538000
2019-02-21,4450.0,4475.0,4387.5,4462.5,3771.17138671875,26466400
2019-02-22,4450.0,4450.0,4325.0,4362.5,3686.66357421875,59643400
2019-02-25,4387.5,4425.0,4362.5,4400.0,3718.353759765625,31297800
2019-02-26,4400.0,4437.5,4350.0,4425.0,3739.4814453125,32625400
2019-02-27,4375.0,4462.5,4362.5,4425.0,3739.4814453125,19073600
2019-02-28,4462.5,4462.5,4362.5,4400.0,3718.353759765625,33411200
2019-03-01,4412.5,4487.5,4400.0,4487.5,3792.29833984375,26656800
2019-03-04,4450.0,4500.0,4437.5,4475.0,3781.734619140625,28548200
2019-03-05,4462.5,4462.5,4362.5,4400.0,3718.353759765625,28743600
2019-03-06,4375.0,4437.5,4375.0,4400.0,3718.353759765625,23339600
2019-03-07,4400.0,4400.0,4400.0,4400.0,3718.353759765625,0
2019-03-08,4375.0,4387.5,4337.5,4337.5,3665.536376953125,37957000
2019-03-11,4400.0,4400.0,4337.5,4337.5,3665.536376953125,14711800
2019-03-12,4325.0,4362.5,4300.0,4337.5,3665.536376953125,20181600
2019-03-13,4287.5,4337.5,4262.5,4300.0,3633.845703125,32738800
2019-03-14,4362.5,4412.5,4337.5,4412.5,3728.917236328125,13382000
2019-03-15,4462.5,4562.5,4450.0,4537.5,3834.552490234375,34814400
2019-03-18,4550.0,4675.0,4537.5,4675.0,3950.75048828125,38275600
2019-03-19,4662.5,4725.0,4650.0,4675.0,3950.75048828125,39436000
2019-03-20,4687.5,4687.5,4625.0,4650.0,3929.6240234375,23188800
2019-03-21,4725.0,4775.0,4712.5,4762.5,4024.695068359375,38604000
2019-03-22,4775.0,4825.0,4762.5,4800.0,4056.385986328125,33572000
2019-03-25,4650.0,4725.0,4575.0,4600.0,3887.3701171875,26670200
2019-03-26,4687.5,4700.0,4662.5,4687.5,3961.314208984375,6754600
2019-03-27,4575.0,4687.5,4575.0,4675.0,3950.75048828125,7113800
2019-03-28,4712.5,4725.0,4675.0,4712.5,3982.441162109375,22824600
2019-03-29,4687.5,4725.0,4687.5,4700.0,3971.878173828125,19813600
2019-04-01,4712.5,4750.0,4712.5,4725.0,3993.004638671875,9954200
2019-04-02,4750.0,4762.5,4700.0,4737.5,4003.568603515625,22445400
2019-04-03,4737.5,4737.5,4737.5,4737.5,4003.568603515625,0
2019-04-04,4762.5,4862.5,4762.5,4850.0,4098.6396484375,48871200
2019-04-05,4875.0,4925.0,4825.0,4862.5,4109.20361328125,11966400
2019-04-08,4800.0,4825.0,4712.5,4737.5,4003.568603515625,17860200
2019-04-09,4825.0,4850.0,4775.0,4837.5,4088.076171875,14496600
2019-04-10,4837.5,4875.0,4800.0,4850.0,4098.6396484375,17295200
2019-04-11,4900.0,4900.0,4750.0,4812.5,4066.94921875,31259200
2019-04-12,4775.0,4837.5,4750.0,4837.5,4088.076171875,19171400
2019-04-15,4825.0,4850.0,4812.5,4825.0,4077.51318359375,22821200
2019-04-16,4825.0,4875.0,4825.0,4850.0,4098.6396484375,43281000
2019-04-17,4850.0,4850.0,4850.0,4850.0,4098.6396484375,0
2019-04-18,4962.5,5125.0,4875.0,4925.0,4162.02099609375,90501000
2019-04-19,4925.0,4925.0,4925.0,4925.0,4162.02099609375,0
2019-04-22,4912.5,4912.5,4812.5,4837.5,4088.076171875,38719000
2019-04-23,4800.0,4912.5,4800.0,4900.0,4140.89404296875,25165200
2019-04-24,4950.0,4962.5,4887.5,4900.0,4140.89404296875,22612800
2019-04-25,4850.0,4862.5,4775.0,4800.0,4056.385986328125,61278200
2019-04-26,4812.5,4825.0,4750.0,4825.0,4077.51318359375,62720800
2019-04-29,4862.5,4862.5,4775.0,4812.5,4066.94921875,26364400
2019-04-30,4812.5,4850.0,4762.5,4800.0,4056.385986328125,46762800
2019-05-01,4800.0,4800.0,4800.0,4800.0,4056.385986328125,0
2019-05-02,4762.5,4787.5,4650.0,4712.5,3982.441162109375,60074200
2019-05-03,4700.0,4700.0,4587.5,4625.0,3908.497314453125,59192200
2019-05-06,4550.0,4562.5,4375.0,4437.5,3750.04443359375,55552200
2019-05-07,4437.5,4525.0,4375.0,4475.0,3781.734619140625,61910000
2019-05-08,4387.5,4425.0,4350.0,4375.0,3697.226806640625,41682400
2019-05-09,4300.0,4337.5,4275.0,4287.5,3623.2822265625,69829800
2019-05-10,4325.0,4412.5,4287.5,4300.0,3633.845703125,45151200
2019-05-13,4300.0,4337.5,4250.0,4250.0,3591.591796875,20710000
2019-05-14,4225.0,4275.0,4125.0,4225.0,3570.465087890625,68445400
